clinical_correctness,completeness,readability,professional_medical_style,consistency_with_findings,hallucination_absence,overall,Patient_ID
5,5,4,5,5,5,5,447807127603920815
5,5,4,5,5,5,5,4335393936854271175
5,5,4,5,5,5,5,5944318648660480123
5,5,4,5,5,5,5,3591375421002955833
5,5,4,5,5,5,5,1394566867109443649
5,5,4,5,5,5,5,6883247826590589891
5,5,4,5,5,5,5,6911665908559790368
5,5,4,5,5,5,5,5903926967250415173
5,5,4,5,5,5,5,2701889365300520905
5,5,4,5,5,5,5,492764444760365086
5,5,4,5,5,5,5,1301796717610652829
5,5,4,5,5,5,5,955810201300485760
5,5,4,5,5,5,5,1527861662303438037
5,5,4,5,5,5,5,5732547401193032365
5,5,4,5,5,5,5,3990389213255167098
5,5,4,5,5,5,5,6808268881748057110
5,5,4,5,5,5,5,2997287868263810077
5,5,4,5,5,5,5,5743766230158115563
5,5,4,5,5,5,5,3807317236533592386
5,5,4,5,5,5,5,4639270802011478765
5,5,4,5,5,5,5,8373237539088951674
5,5,4,5,5,5,5,5558690202155015683
5,5,4,5,5,5,5,118850337154162417
5,5,4,5,5,5,5,4523597649053987815
5,5,4,5,5,5,5,7274064029808744061
5,5,4,5,5,5,5,6531271478954452142
5,5,4,5,5,5,5,2739763637340329992
5,5,4,5,5,5,5,4389557210931825723
5,5,4,5,5,5,5,8068610699904666458
5,5,4,5,5,5,5,5804989844366071622
5,5,4,5,5,5,5,8860129074930872352
4,5,4,4,4,5,4,2370782258373592910
5,5,4,5,5,5,5,8951910123463373004
4,5,4,4,4,4,4,3669612920064551855
5,5,4,5,5,5,5,2521248722926867409
5,5,4,5,5,5,5,3665516578431798017
5,5,4,5,5,5,5,6903673571802396260
5,5,4,5,5,5,5,9178349517888227623
5,5,4,5,5,5,5,6897278208570291857
5,5,4,5,5,5,5,497136926334697693
4,4,4,4,4,4,4,6737086226018687158
5,5,4,5,5,5,5,4990130587478041559
5,5,4,5,5,5,5,5816993392011806760
5,5,4,5,5,5,5,8625698532634006778
5,5,4,5,5,5,5,583491917066867608
5,5,4,5,5,5,5,393359204049783241
5,5,4,5,5,5,5,7826880896478222482
5,5,4,5,5,5,5,8074018464055533985
5,5,4,5,5,5,5,3947543481172177635
5,5,4,5,5,5,5,6854277966510005322
5,5,4,5,5,5,5,1847975334931691025
5,5,4,5,5,5,5,1253266117524963274
5,5,4,5,5,5,5,2406288862736649218
5,5,4,5,5,5,5,4684568732412694901
5,5,4,5,5,5,5,6921454693281978207
5,5,4,5,5,5,5,1766908513442692310
5,5,4,5,5,5,5,4592960685490012660
5,5,4,5,5,5,5,4177973411565098150
5,5,4,5,5,5,5,7102073467804918057
5,5,4,5,5,5,5,8675812230947154404
4,5,4,4,4,5,4,3829856709979457006
5,5,4,5,5,5,5,1215861960514172742
5,5,4,5,5,5,5,6035001483930660736
4,5,4,4,4,5,4,5016019649661636575
5,5,4,5,5,5,5,6809645557495333487
5,5,4,5,5,5,5,6576255971653752740
5,5,4,5,5,5,5,9078744474681813169
5,5,4,5,5,5,5,7740301150599312258
5,5,4,5,5,5,5,1299129092181349286
5,5,4,5,5,5,5,6007705327279732638
5,5,4,5,5,5,5,2207275634109987748
5,5,4,5,5,5,5,6433479777880610431
5,5,4,5,5,5,5,6952180744355364867
5,5,4,5,5,5,5,8370632854845558436
5,5,4,5,5,5,5,1619795198512622822
5,5,4,5,5,5,5,2229731716258969917
5,5,4,5,5,5,5,2307898789513327042
5,5,4,5,5,5,5,1861139354841243189
5,5,4,5,5,5,5,976668445442307336
5,5,4,5,5,5,5,2598349939127793818
5,5,4,5,5,5,5,3568082349107674509
5,5,4,5,5,5,5,261940857292763152
5,5,4,5,5,5,5,567632392027857507
5,5,4,5,5,5,5,4366893787850473759
5,5,4,5,5,5,5,5790986445330418769
5,5,4,5,5,5,5,3421555955252577445
5,5,4,5,5,5,5,2719625919893259257
5,5,4,5,5,5,5,4165674203559839926
5,5,4,5,5,5,5,8813282271661131798
5,5,4,5,5,5,5,1095423587275343356
5,5,4,5,5,5,5,7259808215035542292
5,5,4,5,5,5,5,1634280637577712056
5,5,4,5,5,5,5,3573288862913283197
5,5,4,5,5,5,5,7144372392080563835
5,5,4,5,5,5,5,2581126825254126418
5,5,4,5,5,5,5,3172811445445135212
5,5,4,5,5,5,5,8039439752755473676
4,5,4,4,4,4,4,172724153751263734
5,5,4,5,5,5,5,478181113972032135
5,5,4,5,5,5,5,7579052896742296479
5,5,4,5,5,5,5,8392373281701796054
5,5,4,5,5,5,5,2290495315641095318
5,5,4,5,5,5,5,4916682699707345424
5,5,4,5,5,5,5,4181638155028345001
5,5,4,5,5,5,5,2827450903423907745
4,5,4,4,4,4,4,2286232893533883271
5,5,4,5,5,5,5,5326158447173807695
5,5,4,5,5,5,5,4303710848933291523
5,5,4,5,5,5,5,8874214548906061446
5,5,4,5,5,5,5,8735563455498963183
5,5,4,5,5,5,5,1249413400863072788
4,5,4,5,4,5,4,8114110429317915505
5,5,4,5,5,5,5,5868252281306121502
5,5,4,5,5,5,5,6017090016520541253
5,5,4,5,5,5,5,7573808939741404414
5,5,4,5,5,5,5,6921881443315050502
5,5,4,5,5,5,5,6140390681564170840
